Tarih,Çalışma Grubu,İstasyon Adı,Model Ad,Sağlam(dz),Miktar (kg.),Ürün Grubu
 17.Feb.2023,GÜNDÜZ,A0022,CEMBERLI YILDIZLI PATİK,8.92,2.450,BAYAN SOKET
 17.Feb.2023,GÜNDÜZ,A0017,KOPEK PATİK,7.00,0.000,BAYAN PATİK
 17.Feb.2023,GECE,A0035,CODE 3P.XX SHORT,15.83,4.910,PATİK
 17.Feb.2023,GÜNDÜZ,A0033,ZIGZAG   BABET,9.00,1.590,ÇETİK
 17.Feb.2023,GECE,A0022,CEMBERLI YILDIZLI PATİK,14.00,3.860,BAYAN SOKET
 17.Feb.2023,GECE,A0023,CEMBERLI YILDIZLI PATİK,14.00,3.680,BAYAN SOKET
 17.Feb.2023,GECE,A0033,2023-3,13.75,2.210,BAYAN BAMBU BABET
 17.Feb.2023,GÜNDÜZ,A0005,3P-TENİS HAVLU,8.00,4.120,SOKET TENİS
 17.Feb.2023,GECE,A0006,CARERA PATİK,13.00,0.000,ERKEK PATİK
 17.Feb.2023,GECE,A0004,CARERA PATİK,14.00,0.000,ERKEK PATİK
 17.Feb.2023,GECE,A0007,2023-3,13.42,2.110,BAYAN BAMBU BABET
 17.Feb.2023,GECE,A0015,CODE 3P.XX SHORT,15.67,4.960,PATİK
 17.Feb.2023,GÜNDÜZ,A0011,KALPLI   BABET,9.17,1.570,ÇETİK
 17.Feb.2023,GECE,A0014,CODE 3P.XX SHORT,16.25,5.120,PATİK
 17.Feb.2023,GÜNDÜZ,A0030,KALPLI SOKET,8.42,3.030,BAYAN SOKET
 17.Feb.2023,GECE,A0018,DERBILI NOKTALI,19.00,0.000,BAYAN PATİK
 17.Feb.2023,GECE,A0012,CODE 3P.XX SHORT,16.42,4.970,PATİK
 17.Feb.2023,GECE,A0033,ZIGZAG   BABET,0.17,0.000,ÇETİK
 17.Feb.2023,GÜNDÜZ,A0020,CEMBERLI SOKET,8.50,3.110,BAYAN SOKET
 17.Feb.2023,GÜNDÜZ,A0035,CODE 3P.XX SHORT,10.25,3.230,PATİK
 17.Feb.2023,GECE,A0003,CODE 3P.XX SHORT,15.92,4.410,PATİK
 17.Feb.2023,GÜNDÜZ,A0025,CARERA PATİK,6.00,0.000,ERKEK PATİK
